Age,Nationality,Employment_Status,Income_Bin,Income_Numeric,Persona,Willingness_to_Invest,Budget_Bin,Budget_Numeric,Property_Type,Preferred_Areas,Purpose,Research_Sources,Analytics_Importance,Selection_Criteria,Amenities,Research_Duration,Challenges,Lost_Deal,Analytics_Met_Needs,Premium_for_Analytics,Online_Platform_Usage,Influencer,Viewing_Method,Data_Sharing,Analytics_Comfort,Waitlist_Interest
25-34,Expat – Arab,Self-employed,"60,000+",93891,First-time buyer,Very unlikely,"1,000,000–2,000,000",1361745,Apartment,Jumeirah Village Circle,Rental income,Property portals,Very important,"Mortgage eligibility,Developer reputation,Community amenities","Swimming pool,Shopping mall",1–3 months,Too many listings,No,No,No,Daily,Family,Physical visit,No,5,No
25-34,Expat – Western,Self-employed,"20,000–40,000",26066,First-time buyer,Neutral,"500,000–1,000,000",819206,Apartment,"Jumeirah Village Circle,Palm Jumeirah",Self-use,Agents,Somewhat important,"Resale value,Community amenities,Rental yield","School nearby,Security,Close to metro",2–4 weeks,"Poor agent response,Other",No,No,Maybe,Daily,Agent,Virtual tour,Maybe,5,Yes
25-34,Expat – Asian,Employed,"10,000–20,000",13573,Investor,Unlikely,"500,000–1,000,000",1718164,Villa/Townhouse,Palm Jumeirah,Rental income,Company recommendations,Somewhat important,"Price per sq.ft,Rental yield",Swimming pool,1–3 months,Fake listings,Yes,Somewhat,Maybe,Monthly,Self,Online photos only,Maybe,1,No
35-44,Expat – Western,Employed,"Below 10,000",7813,Investor,Likely,"500,000–1,000,000",538076,Apartment,Business Bay,Self-use,"Property portals,Agents,Company recommendations",Somewhat important,"Location,Community amenities,Rental yield","Security,School nearby,Parking,Swimming pool",2–4 weeks,"Confusing legal process,Poor agent response",Yes,Somewhat,Maybe,Rarely,Self,Physical visit,Maybe,3,No
35-44,GCC National,Business owner,"20,000–40,000",29609,Investor,Unlikely,"Below 500,000",382470,Apartment,"Jumeirah Village Circle,Dubai Marina,Arabian Ranches",Self-use,"Agents,Property portals,Social media",Very important,"Developer reputation,Community amenities","Security,School nearby,Swimming pool,Shopping mall",1–3 months,"Too many listings,Not enough info on returns",No,Somewhat,Yes,Monthly,Family,Online photos only,Yes,4,Yes
25-34,Expat – Asian,Employed,"40,000–60,000",48230,First-time buyer,Likely,"500,000–1,000,000",623332,Commercial,"Jumeirah Village Circle,Downtown Dubai,Palm Jumeirah",Rental income,"Friends/Family,Agents,Social media",Somewhat important,"Price per sq.ft,Location",School nearby,1–2 weeks,"Poor agent response,Fake listings",No,Yes,Maybe,Weekly,Family,Virtual tour,Maybe,4,Maybe
45-54,GCC National,Employed,"20,000–40,000",30951,First-time buyer,Neutral,"Below 500,000",233443,Commercial,Other,Rental income,"Social media,Property portals",Very important,"Developer reputation,Mortgage eligibility","Shopping mall,Swimming pool",2–4 weeks,"Not enough info on returns,Too many listings",No,No,Maybe,Monthly,Family,Physical visit,Yes,4,Yes
25-34,Expat – Asian,Student,"20,000–40,000",26572,Investor,Neutral,"Below 500,000",284452,Villa/Townhouse,"Other,Jumeirah Village Circle,Palm Jumeirah",Rental income,Property portals,Very important,"Developer reputation,Location,Mortgage eligibility","Parking,Security,Shopping mall,Gym",2–4 weeks,"Fake listings,Lack of analytics/data,Poor agent response",Yes,Somewhat,No,Rarely,Family,Physical visit,Maybe,3,Yes
25-34,Expat – Asian,Student,"10,000–20,000",14721,Renter,Neutral,"500,000–1,000,000",892608,Apartment,"Dubai Marina,Downtown Dubai",Self-use,Friends/Family,Somewhat important,"Mortgage eligibility,Resale value,Location","Shopping mall,Parking",Less than 1 week,Lack of analytics/data,No,Somewhat,No,Daily,Social media influencers,Agent video call,Yes,4,No
35-44,Expat – Asian,Business owner,"20,000–40,000",27458,Investor,Likely,"Below 500,000",213274,Apartment,"Palm Jumeirah,Dubai Marina",Self-use,Property portals,Very important,"Community amenities,Developer reputation","Security,Shopping mall,Parking",1–3 months,"Too many listings,Not enough info on returns",Yes,No,Maybe,Weekly,Self,Physical visit,No,3,Maybe
18-24,Expat – Asian,Employed,"10,000–20,000",14173,Renter,Likely,"1,000,000–2,000,000",2035470,Villa/Townhouse,"Downtown Dubai,Arabian Ranches,Dubai Marina",Vacation home,Friends/Family,Somewhat important,"Price per sq.ft,Community amenities","School nearby,Close to metro,Security,Other",More than 3 months,"Poor agent response,Too many listings,Lack of analytics/data",No,No,Maybe,Weekly,Family,Physical visit,No,2,Yes
25-34,Expat – Asian,Business owner,"20,000–40,000",19362,Investor,Unlikely,"500,000–1,000,000",884462,Apartment,"Jumeirah Village Circle,Other",Self-use,Agents,Not very important,"Price per sq.ft,Location",Parking,1–3 months,Fake listings,No,Somewhat,Yes,Weekly,Family,Agent video call,Yes,3,Yes
35-44,UAE National,Employed,"10,000–20,000",19623,Renter,Unlikely,"Below 500,000",284216,Apartment,Downtown Dubai,Self-use,"Friends/Family,Agents,Property portals",Somewhat important,"Other,Price per sq.ft,Rental yield","Security,Other",More than 3 months,"Lack of analytics/data,Fake listings,Not enough info on returns",No,Yes,No,Daily,Self,Online photos only,No,5,No
45-54,Expat – Asian,Employed,"20,000–40,000",30925,Investor,Likely,"1,000,000–2,000,000",1890814,Villa/Townhouse,Business Bay,Rental income,Property portals,Very important,"Resale value,Developer reputation","Swimming pool,Close to metro",1–2 weeks,Confusing legal process,No,Yes,No,Daily,Family,Agent video call,Yes,4,No
25-34,Other,Employed,"60,000+",82735,Renter,Very likely,"2,000,000–5,000,000",2959418,Villa/Townhouse,"Other,Dubai Marina",Flip/Resell,Agents,Somewhat important,"Price per sq.ft,Resale value,Other","Other,School nearby,Swimming pool",1–3 months,"Too many listings,Not enough info on returns,Lack of analytics/data",No,Somewhat,Yes,Daily,Family,Online photos only,Yes,5,Maybe
25-34,Expat – Asian,Business owner,"40,000–60,000",46174,First-time buyer,Unlikely,"1,000,000–2,000,000",1338072,Apartment,"Other,Dubai Marina,Palm Jumeirah",Flip/Resell,"Agents,Property portals,Company recommendations",Very important,"Mortgage eligibility,Community amenities,Resale value",Swimming pool,1–3 months,"Poor agent response,Fake listings",Yes,Somewhat,Yes,Weekly,Self,Online photos only,Yes,3,Yes
35-44,Expat – Asian,Employed,"20,000–40,000",35315,Investor,Very likely,"500,000–1,000,000",1050728,Apartment,"Downtown Dubai,Dubai Marina",Rental income,"Social media,Friends/Family",Very important,"Price per sq.ft,Community amenities,Developer reputation","Security,Close to metro",2–4 weeks,"Poor agent response,Not enough info on returns",No,Somewhat,No,Weekly,Family,Online photos only,Maybe,1,Yes
25-34,UAE National,Self-employed,"20,000–40,000",29371,Investor,Likely,"Below 500,000",289554,Apartment,Dubai Marina,Self-use,Friends/Family,Very important,"Developer reputation,Rental yield","Close to metro,School nearby,Security,Parking",1–3 months,"Not enough info on returns,Fake listings",No,No,Maybe,Daily,Family,Online photos only,Yes,4,Maybe
25-34,Expat – Asian,Employed,"Below 10,000",10351,Investor,Likely,"5,000,000+",12201492,Apartment,Dubai Marina,Rental income,Property portals,Very important,"Price per sq.ft,Community amenities,Rental yield","Swimming pool,Parking",1–3 months,Lack of analytics/data,No,Somewhat,Maybe,Weekly,Family,Online photos only,No,3,No
35-44,UAE National,Employed,"20,000–40,000",21770,Other,Likely,"500,000–1,000,000",790379,Apartment,"Dubai Marina,Jumeirah Village Circle",Rental income,"Social media,Property portals",Very important,"Developer reputation,Rental yield",Other,2–4 weeks,Not enough info on returns,No,No,Maybe,Monthly,Online reviews,Virtual tour,Yes,5,Maybe
35-44,Expat – Western,Employed,"20,000–40,000",31908,Investor,Unlikely,"1,000,000–2,000,000",1448021,Villa/Townhouse,"Palm Jumeirah,Downtown Dubai,Arabian Ranches",Self-use,Property portals,Somewhat important,"Rental yield,Community amenities",Gym,2–4 weeks,"Too many listings,Poor agent response",No,No,Maybe,Weekly,Online reviews,Virtual tour,Maybe,1,Maybe
25-34,Expat – Arab,Employed,"20,000–40,000",25678,First-time buyer,Neutral,"500,000–1,000,000",755758,Villa/Townhouse,"Downtown Dubai,Other",Flip/Resell,"Property portals,Social media",Very important,"Price per sq.ft,Location",Security,2–4 weeks,"Not enough info on returns,Fake listings",Yes,No,No,Monthly,Online reviews,Online photos only,Yes,2,Maybe
25-34,Expat – Asian,Employed,"40,000–60,000",54503,Renter,Likely,"Below 500,000",295830,Apartment,"Downtown Dubai,Dubai Marina,Arabian Ranches",Self-use,Agents,Somewhat important,"Location,Community amenities,Developer reputation","Parking,Close to metro",1–3 months,"Lack of analytics/data,Not enough info on returns,Poor agent response",No,No,No,Daily,Friends,Virtual tour,Maybe,3,Maybe
18-24,Expat – Arab,Employed,"10,000–20,000",12954,Other,Likely,"1,000,000–2,000,000",811777,Apartment,Dubai Marina,Rental income,Property portals,Somewhat important,"Rental yield,Developer reputation,Location","Other,Parking,Swimming pool,Shopping mall",Less than 1 week,Not enough info on returns,No,No,Yes,Monthly,Self,Online photos only,No,4,Yes
25-34,Other,Student,"60,000+",90967,First-time buyer,Very likely,"1,000,000–2,000,000",1151680,Apartment,"Palm Jumeirah,Business Bay",Self-use,Property portals,Very important,"Developer reputation,Location","Security,Shopping mall,Parking,Swimming pool",1–3 months,Poor agent response,No,Somewhat,Maybe,Weekly,Self,Physical visit,Yes,1,Yes
25-34,UAE National,Business owner,"Below 10,000",4001,Investor,Very unlikely,"Below 500,000",255817,Villa/Townhouse,Jumeirah Village Circle,Self-use,Property portals,Very important,"Price per sq.ft,Developer reputation",Security,More than 3 months,Lack of analytics/data,Yes,Somewhat,No,Rarely,Agent,Online photos only,Maybe,4,Maybe
35-44,Expat – Asian,Employed,"Below 10,000",4783,First-time buyer,Likely,"500,000–1,000,000",963960,Villa/Townhouse,Palm Jumeirah,Self-use,"Property portals,Friends/Family",Very important,"Rental yield,Community amenities,Resale value",Swimming pool,1–2 weeks,Confusing legal process,No,Yes,Maybe,Rarely,Self,Online photos only,No,3,Maybe
55+,Other,Homemaker,"10,000–20,000",12053,Renter,Likely,"500,000–1,000,000",766812,Commercial,"Dubai Marina,Other",Self-use,Company recommendations,Somewhat important,"Price per sq.ft,Community amenities","Swimming pool,Shopping mall",1–3 months,"Other,Not enough info on returns,Lack of analytics/data",No,No,Maybe,Monthly,Online reviews,Agent video call,Yes,3,No
35-44,Expat – Western,Business owner,"10,000–20,000",12869,Developer,Unlikely,"500,000–1,000,000",620618,Commercial,"Business Bay,Dubai Marina",Rental income,"Property portals,Agents,Social media",Very important,"Developer reputation,Resale value","Parking,Swimming pool,Security",1–3 months,Fake listings,No,No,No,Rarely,Friends,Agent video call,Yes,3,Yes
18-24,Expat – Asian,Employed,"10,000–20,000",15888,Renter,Very unlikely,"500,000–1,000,000",854172,Apartment,"Palm Jumeirah,Jumeirah Village Circle,Dubai Marina",Self-use,"Friends/Family,Agents",Somewhat important,"Price per sq.ft,Location","Parking,School nearby",1–2 weeks,"Confusing legal process,Fake listings,Not enough info on returns",Yes,Somewhat,No,Daily,Family,Virtual tour,Maybe,1,Maybe
35-44,Expat – Asian,Business owner,"Below 10,000",7680,First-time buyer,Neutral,"500,000–1,000,000",656891,Apartment,"Jumeirah Village Circle,Palm Jumeirah,Downtown Dubai",Rental income,Property portals,Somewhat important,"Price per sq.ft,Developer reputation,Community amenities","Gym,Security",2–4 weeks,Too many listings,No,Somewhat,Maybe,Weekly,Family,Virtual tour,No,4,Maybe
25-34,GCC National,Student,"20,000–40,000",27847,First-time buyer,Neutral,"500,000–1,000,000",610049,Apartment,"Downtown Dubai,Palm Jumeirah,Dubai Marina",Rental income,"Friends/Family,Property portals,Social media",Somewhat important,"Other,Location","Close to metro,Gym,Parking",2–4 weeks,Poor agent response,No,Somewhat,Yes,Daily,Self,Online photos only,Maybe,4,Yes
35-44,Expat – Asian,Employed,"20,000–40,000",22472,Investor,Likely,"Below 500,000",398202,Villa/Townhouse,"Palm Jumeirah,Jumeirah Village Circle,Business Bay",Flip/Resell,"Property portals,Friends/Family,Company recommendations",Very important,"Community amenities,Developer reputation",Swimming pool,Less than 1 week,"Lack of analytics/data,Fake listings",No,Somewhat,Maybe,Weekly,Self,Virtual tour,Yes,2,Yes
25-34,Expat – Western,Employed,"20,000–40,000",21674,Investor,Very likely,"500,000–1,000,000",731444,Villa/Townhouse,"Downtown Dubai,Palm Jumeirah,Other",Vacation home,Friends/Family,Somewhat important,"Other,Rental yield,Price per sq.ft","Close to metro,Swimming pool",More than 3 months,"Poor agent response,Too many listings,Lack of analytics/data",Yes,No,Yes,Weekly,Social media influencers,Physical visit,Yes,5,Yes
45-54,Expat – Asian,Employed,"10,000–20,000",15796,Renter,Neutral,"1,000,000–2,000,000",1255680,Villa/Townhouse,"Other,Arabian Ranches",Self-use,"Property portals,Social media",Very important,"Price per sq.ft,Community amenities",Shopping mall,2–4 weeks,"Lack of analytics/data,Confusing legal process,Fake listings",Yes,No,Maybe,Monthly,Online reviews,Physical visit,No,1,No
18-24,Other,Employed,"60,000+",93977,Renter,Unlikely,"1,000,000–2,000,000",1600262,Commercial,Other,Flip/Resell,"Agents,Property portals,Social media",Very important,"Location,Price per sq.ft","Gym,Shopping mall,Swimming pool,Close to metro",1–3 months,"Confusing legal process,Poor agent response,Fake listings",No,Somewhat,Yes,Daily,Agent,Physical visit,Maybe,5,No
25-34,Expat – Asian,Self-employed,"10,000–20,000",13672,Agent,Neutral,"1,000,000–2,000,000",1162008,Villa/Townhouse,Arabian Ranches,Rental income,"Friends/Family,Company recommendations",Very important,"Community amenities,Developer reputation,Rental yield","Parking,Shopping mall,Swimming pool",Less than 1 week,"Too many listings,Fake listings",No,Somewhat,Maybe,Daily,Friends,Physical visit,Yes,3,Yes
45-54,Expat – Asian,Self-employed,"Below 10,000",10708,Other,Likely,"500,000–1,000,000",867745,Apartment,Business Bay,Rental income,Friends/Family,Not very important,"Developer reputation,Resale value,Price per sq.ft","Gym,Swimming pool",1–3 months,"Lack of analytics/data,Poor agent response",No,No,Yes,Monthly,Family,Online photos only,Maybe,3,Maybe
55+,Expat – Asian,Self-employed,"10,000–20,000",16793,Investor,Very likely,"500,000–1,000,000",966545,Commercial,"Jumeirah Village Circle,Downtown Dubai",Flip/Resell,Property portals,Somewhat important,"Rental yield,Developer reputation","Security,Shopping mall,Swimming pool",2–4 weeks,"Confusing legal process,Fake listings,Lack of analytics/data",No,Somewhat,Maybe,Monthly,Friends,Physical visit,Yes,3,Yes
55+,Expat – Asian,Self-employed,"10,000–20,000",13010,First-time buyer,Very likely,"500,000–1,000,000",1111112,Land,"Dubai Marina,Jumeirah Village Circle",Self-use,"Property portals,Social media",Very important,"Price per sq.ft,Mortgage eligibility,Location","Parking,Other,Security",1–2 weeks,"Other,Lack of analytics/data,Fake listings",No,Somewhat,Maybe,Weekly,Agent,Online photos only,Maybe,3,Yes
45-54,Expat – Asian,Self-employed,"10,000–20,000",15513,Renter,Likely,"Below 500,000",408069,Apartment,"Downtown Dubai,Other",Vacation home,"Property portals,Agents,Friends/Family",Somewhat important,"Resale value,Location","Swimming pool,Other",More than 3 months,"Other,Fake listings",No,No,Maybe,Weekly,Self,Agent video call,Maybe,3,Maybe
35-44,Expat – Western,Employed,"20,000–40,000",24727,Investor,Unlikely,"1,000,000–2,000,000",1509073,Apartment,"Arabian Ranches,Palm Jumeirah",Self-use,"Property portals,Company recommendations,Other",Somewhat important,"Price per sq.ft,Location","Shopping mall,School nearby,Swimming pool,Close to metro",1–3 months,"Confusing legal process,Poor agent response,Too many listings",No,No,Maybe,Monthly,Self,Physical visit,Maybe,4,Maybe
25-34,Expat – Arab,Employed,"40,000–60,000",48009,Investor,Neutral,"500,000–1,000,000",831147,Apartment,"Downtown Dubai,Arabian Ranches,Dubai Marina",Vacation home,"Friends/Family,Agents,Property portals",Somewhat important,"Location,Developer reputation,Resale value","Gym,Security,Swimming pool,Shopping mall",1–3 months,"Too many listings,Confusing legal process,Not enough info on returns",No,Somewhat,Maybe,Daily,Self,Online photos only,No,4,No
35-44,GCC National,Employed,"60,000+",78870,Investor,Unlikely,"1,000,000–2,000,000",1631359,Apartment,Business Bay,Rental income,Property portals,Very important,"Developer reputation,Location,Price per sq.ft","Close to metro,Other,Swimming pool",1–3 months,"Fake listings,Too many listings,Lack of analytics/data",No,Yes,No,Weekly,Online reviews,Online photos only,Yes,4,Maybe
25-34,Expat – Western,Employed,"Below 10,000",4102,Investor,Very likely,"500,000–1,000,000",1082354,Apartment,Business Bay,Self-use,"Property portals,Agents",Somewhat important,"Developer reputation,Location","Security,Swimming pool,Parking,Other",1–3 months,"Not enough info on returns,Fake listings",Yes,Somewhat,Yes,Rarely,Family,Physical visit,Maybe,3,Yes
25-34,Expat – Asian,Self-employed,"10,000–20,000",16952,First-time buyer,Very likely,"2,000,000–5,000,000",2615400,Villa/Townhouse,Downtown Dubai,Rental income,"Property portals,Social media,Agents",Not at all important,"Resale value,Other","Close to metro,Security",1–3 months,Lack of analytics/data,Yes,Somewhat,No,Monthly,Family,Physical visit,No,4,Maybe
45-54,Expat – Asian,Employed,"20,000–40,000",32040,Investor,Very likely,"500,000–1,000,000",1022880,Villa/Townhouse,"Jumeirah Village Circle,Dubai Marina",Rental income,"Property portals,Agents,Social media",Neutral,"Other,Community amenities,Rental yield","Other,Gym,Shopping mall,Security",More than 3 months,Lack of analytics/data,No,No,Yes,Daily,Self,Physical visit,No,4,Maybe
35-44,Expat – Arab,Self-employed,"Below 10,000",4753,Renter,Unlikely,"500,000–1,000,000",1042582,Apartment,"Downtown Dubai,Jumeirah Village Circle,Other",Self-use,Property portals,Not at all important,"Other,Price per sq.ft,Developer reputation",Close to metro,1–2 weeks,"Confusing legal process,Other",No,Somewhat,No,Daily,Family,Physical visit,Maybe,2,Yes
45-54,Expat – Western,Employed,"10,000–20,000",13058,Renter,Likely,"500,000–1,000,000",966049,Villa/Townhouse,Downtown Dubai,Rental income,"Property portals,Agents",Not very important,"Rental yield,Price per sq.ft","Shopping mall,Parking,Close to metro",1–3 months,"Not enough info on returns,Fake listings",No,Yes,Maybe,Rarely,Family,Virtual tour,Maybe,4,Yes
25-34,Expat – Western,Business owner,"10,000–20,000",17126,First-time buyer,Very likely,"500,000–1,000,000",865925,Other,"Downtown Dubai,Business Bay,Jumeirah Village Circle",Self-use,"Agents,Social media,Property portals",Very important,"Community amenities,Mortgage eligibility,Price per sq.ft",Parking,More than 3 months,"Poor agent response,Not enough info on returns,Too many listings",No,Somewhat,Maybe,Rarely,Online reviews,Agent video call,No,3,No
25-34,Expat – Asian,Employed,"20,000–40,000",22188,Renter,Likely,"Below 500,000",213641,Commercial,"Business Bay,Other",Rental income,"Agents,Social media,Property portals",Somewhat important,"Developer reputation,Resale value",Other,1–3 months,"Lack of analytics/data,Too many listings,Confusing legal process",Yes,Somewhat,Maybe,Rarely,Friends,Online photos only,Yes,4,Maybe
25-34,UAE National,Employed,"20,000–40,000",27550,Other,Neutral,"1,000,000–2,000,000",1884140,Apartment,"Palm Jumeirah,Arabian Ranches,Other",Self-use,"Agents,Other,Property portals",Somewhat important,"Price per sq.ft,Community amenities","Parking,Close to metro,Gym,Swimming pool",1–2 weeks,Not enough info on returns,No,No,No,Daily,Family,Physical visit,No,1,Maybe
25-34,UAE National,Employed,"10,000–20,000",13867,First-time buyer,Neutral,"500,000–1,000,000",724554,Land,Dubai Marina,Rental income,"Property portals,Friends/Family",Somewhat important,"Location,Rental yield",Gym,1–3 months,"Too many listings,Poor agent response",No,Yes,Yes,Weekly,Self,Agent video call,No,3,Yes
18-24,Expat – Arab,Employed,"10,000–20,000",14878,First-time buyer,Very likely,"500,000–1,000,000",606273,Villa/Townhouse,"Arabian Ranches,Downtown Dubai",Self-use,"Friends/Family,Company recommendations",Somewhat important,"Rental yield,Community amenities,Location","Security,Swimming pool,Parking",More than 3 months,"Not enough info on returns,Lack of analytics/data",No,No,No,Daily,Agent,Physical visit,No,4,No
18-24,Expat – Arab,Employed,"Below 10,000",9417,Renter,Likely,"2,000,000–5,000,000",4639580,Apartment,Dubai Marina,Self-use,Social media,Neutral,"Developer reputation,Price per sq.ft",Swimming pool,More than 3 months,"Fake listings,Lack of analytics/data,Poor agent response",No,No,Maybe,Rarely,Social media influencers,Physical visit,Maybe,3,No
35-44,GCC National,Self-employed,"Below 10,000",6854,First-time buyer,Very likely,"Below 500,000",349324,Villa/Townhouse,"Palm Jumeirah,Downtown Dubai",Rental income,"Property portals,Company recommendations",Very important,"Community amenities,Price per sq.ft,Location","Gym,Swimming pool,Parking",2–4 weeks,"Not enough info on returns,Fake listings,Other",No,No,No,Monthly,Family,Agent video call,Yes,3,Maybe
35-44,Expat – Western,Business owner,"40,000–60,000",45219,Renter,Neutral,"500,000–1,000,000",518517,Commercial,"Business Bay,Downtown Dubai,Dubai Marina",Flip/Resell,Agents,Neutral,"Rental yield,Location",Security,1–3 months,"Confusing legal process,Fake listings,Too many listings",No,No,No,Daily,Self,Online photos only,Maybe,4,No
18-24,Expat – Arab,Employed,"20,000–40,000",23136,Renter,Unlikely,"Below 500,000",381781,Apartment,"Palm Jumeirah,Downtown Dubai",Rental income,"Social media,Agents",Very important,"Rental yield,Community amenities,Location","Security,Swimming pool,Close to metro,Shopping mall",1–2 weeks,Lack of analytics/data,No,Somewhat,Maybe,Monthly,Family,Agent video call,No,4,No
25-34,Expat – Asian,Homemaker,"20,000–40,000",36104,Investor,Neutral,"1,000,000–2,000,000",1055924,Villa/Townhouse,Downtown Dubai,Self-use,Social media,Very important,"Resale value,Price per sq.ft,Developer reputation","School nearby,Gym,Swimming pool,Close to metro",2–4 weeks,Fake listings,Yes,Somewhat,No,Rarely,Friends,Online photos only,No,3,Yes
45-54,Expat – Western,Employed,"Below 10,000",9641,First-time buyer,Likely,"Below 500,000",235090,Apartment,"Business Bay,Downtown Dubai",Self-use,"Property portals,Company recommendations,Agents",Somewhat important,"Community amenities,Other","Close to metro,Swimming pool,Security",1–3 months,"Confusing legal process,Lack of analytics/data,Fake listings",Yes,No,No,Monthly,Agent,Agent video call,Maybe,1,Maybe
25-34,GCC National,Self-employed,"20,000–40,000",28215,Investor,Unlikely,"Below 500,000",390927,Apartment,Arabian Ranches,Rental income,"Social media,Friends/Family",Somewhat important,"Rental yield,Price per sq.ft,Community amenities","Close to metro,Swimming pool",1–3 months,"Too many listings,Fake listings,Lack of analytics/data",No,No,No,Monthly,Self,Online photos only,No,2,Maybe
18-24,Expat – Asian,Employed,"10,000–20,000",17382,First-time buyer,Likely,"500,000–1,000,000",719002,Apartment,"Dubai Marina,Other,Business Bay",Other,"Friends/Family,Property portals,Agents",Very important,"Location,Rental yield","Gym,School nearby,Swimming pool,Parking",More than 3 months,"Lack of analytics/data,Too many listings,Not enough info on returns",No,No,Yes,Weekly,Agent,Physical visit,Yes,1,Yes
25-34,UAE National,Employed,"20,000–40,000",33633,Investor,Very unlikely,"Below 500,000",433906,Apartment,Business Bay,Rental income,"Friends/Family,Property portals",Neutral,"Price per sq.ft,Developer reputation,Rental yield","Swimming pool,Gym,Shopping mall,Security",1–3 months,"Confusing legal process,Lack of analytics/data",No,No,No,Daily,Self,Online photos only,Yes,5,Maybe
55+,UAE National,Employed,"20,000–40,000",27678,Investor,Neutral,"1,000,000–2,000,000",1350461,Villa/Townhouse,"Palm Jumeirah,Arabian Ranches",Flip/Resell,"Property portals,Agents",Very important,"Rental yield,Mortgage eligibility,Price per sq.ft","Security,Shopping mall",1–3 months,Fake listings,No,No,Yes,Weekly,Family,Virtual tour,No,4,Maybe
35-44,GCC National,Employed,"10,000–20,000",15450,Investor,Very likely,"1,000,000–2,000,000",1588825,Apartment,Dubai Marina,Vacation home,Agents,Very important,"Developer reputation,Price per sq.ft",Gym,1–3 months,Fake listings,No,Somewhat,Yes,Daily,Online reviews,Virtual tour,No,2,Maybe
